report_date,assigned_unid,fund_name,initial_investment_date,commitment,contributions,unfunded_commitment,current_market_value,distributions,total_value,tvpi,net_benefit,irr,strategy,rn
"2021-06-30 00:00:00",fglw116zmvfackxmhsyv,"Jade Equity Investors, L.P.","2020-04-15 00:00:00",175000000,33543811,159699729,40381463,18243540,58625003,1.7,25081192,1.0803,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",G4ohYAInydxy0EaPsT0C,"HIPEP VI-Asia Pacific Fund, L.P.","2009-03-18 00:00:00",50000000,47500000,2500000,46820416,42461469,89281885,1.9,41781885,0.1189,"Special Situation",1
"2021-06-30 00:00:00",gB4iaqV1rm4VNXSxF2Yj,"Menlo Ventures XI, L.P.","2011-07-28 00:00:00",100000000,100000000,0,168621246,259617690,428238936,4.3,328238936,0.3124,"Venture Capital",1
"2021-06-30 00:00:00",ge6edwv6lf9lccszoxnd,"Green Equity Investors VIII, L.P.","2020-10-21 00:00:00",400000000,164129571,235870429,169642152,0,169642152,1,5512581,0.0885,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",gev9ico99tb0e9k8vifz,"TPG Partners VII, L.P.","2015-09-25 00:00:00",600000000,574039816,135453064,747467070,323554252,1071021322,1.9,496981506,0.2227,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",ghjcpjvghxves4dusool,"Insight Venture Partners IX, L.P.","2015-03-24 00:00:00",150000000,153534417,6092668,517262432,105570958,622833390,4.1,469298973,0.3626,"Growth Equity",1
"2021-06-30 00:00:00",GMlfHm6urgUPgybLF5EG,"Fisher Lynch Co-Investment Partnership II, L.P.","2011-02-24 00:00:00",500000000,515501196,41806059,530812978,782975608,1313788586,2.5,798287390,0.2094,Co-Investment,1
"2021-06-30 00:00:00",H8KSfdGXGCNjLDEg9GyI,"Southern Cross Latin America Private Equity Fund IV, L.P.","2010-10-14 00:00:00",75000000,75297539,543373,516493,15796648,16313141,0.2,-58984398,-0.257,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",hhal8hebb8d6tfmj2v3x,"Riverside Micro-Cap Fund V, L.P.","2019-05-01 00:00:00",75000000,37081350,37918650,47319949,0,47319949,1.3,10238599,0.2208,"Corporate Finance/Buyout - Small",1
"2021-06-30 00:00:00",HQL7I2XUlFfJxrI2wNOw,"KSL Capital Partners III, L.P.","2011-04-14 00:00:00",200000000,219052036,20351929,64150079,216745953,280896032,1.3,61843996,0.1006,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",HvQ9sCageQhBHa9SmycZ,"HIPEP VI-Emerging Markets Fund, L.P.","2009-12-14 00:00:00",50000000,50000000,0,57715682,16828299,74543981,1.5,24543981,0.0701,"Special Situation",1
"2021-06-30 00:00:00",i0ail3bl2ep7bnw6pwh6,"KKR Asian Fund IV SCSp","2021-05-27 00:00:00",500000000,39503074,460496926,41503797,0,41503797,1.1,2000723,0.0506,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",i0v87etkcue4ogxrmgpb,"KSL Capital Partners V, L.P.","2019-10-28 00:00:00",300000000,137645569,192549529,122976508,42465758,165442266,1.2,27796697,0.3005,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",i6zjeescn60j0fjcfqc3,"KKR European Fund V, L.P. - USD","2020-01-15 00:00:00",300000000,180773287,121959047,214539991,5500514,220040505,1.2,39267218,0.2912,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",IJFbl3Jsy9dbUU1PDSl6,"Providence Equity Partners VII, L.P.","2012-05-09 00:00:00",300000000,408802911,32774325,408115433,463182894,871298327,2.1,462495416,0.25,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",ixajwktv6bk6cek5p0cw,"Endeavour Capital Fund VII, L.P.","2016-02-23 00:00:00",125000000,105520303,19465125,140126716,59079989,199206705,1.9,93686402,0.1989,"Corporate Finance/Buyout - Small",1
"2021-06-30 00:00:00",j7tt8snze6ipiejivkx8,"Nordic Capital CV1 Beta, L.P.","2018-04-18 00:00:00",203515517,220691769,23554695,179223120,151861118,331084238,1.5,110392469,0.1739,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",jigxhmnzp6cpxz84skxu,"PAG Asia III, L.P.","2019-09-27 00:00:00",350000000,118609573,231390427,130896148,1668519,132564667,1.1,13955094,0.1325,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",jl3h20g4cv25c0v02tt9,"DCPF VI Oil and Gas Coinvestment Fund LP","2013-12-10 00:00:00",100000000,84875756,19069636,4117755,132725759,136843514,1.6,51967758,0.1589,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",jrkmmrru5gqsf2wb932m,"Evergreen Park Investment Fund, L.P.","2021-06-29 00:00:00",500000000,37323000,462677000,36976317,0,36976317,1,-346683,-0.0093,Co-Investment,1
"2021-06-30 00:00:00",jusw3vx9vxlmiwrp1ixu,"Triton Fund IV, L.P.","2013-07-08 00:00:00",241127475,209142508,35233072,162662829,139647345,302310174,1.4,93167666,0.1012,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",k9n2xqnp5cwql6q39d85,"Banc Fund IX, L.P.","2014-07-15 00:00:00",100000000,100000000,0,127134314,18326439,145460753,1.5,45460753,0.0832,"Corporate Finance/Buyout - Small",1
"2021-06-30 00:00:00",kyn1wegh0dqncsq5g0kg,"TCV IX, L.P.","2016-12-27 00:00:00",200000000,161423853,41240000,362682075,77015780,439697855,2.7,278274002,0.4169,"Growth Equity",1
"2021-06-30 00:00:00",l88mzzxdsq0gvojh59gp,"Permira VII, L.P.","2020-02-05 00:00:00",410012147,158563793,251448354,183048370,0,183048370,1.2,24484576,0.1662,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",Lrb5nHkEPSLhOa45SRyG,"Vestar Capital Partners VI, L.P.","2012-04-02 00:00:00",158637500,189127827,566747,80775996,258221605,338997601,1.8,149869774,0.2438,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",luUKyJ0jbhohp3t18gPh,"Warburg Pincus Private Equity XI, L.P.","2012-05-24 00:00:00",750000000,763227511,0,459696921,903905241,1363602162,1.8,600374651,0.1373,"Growth Equity",1
"2021-06-30 00:00:00",m06uCwXQWwh4gpqeMiXT,"Oaktree Opportunities Fund VIII, L.P.","2009-12-09 00:00:00",125000000,125000000,0,2446771,181752646,184199417,1.5,59199417,0.0912,"Distressed Debt",1
"2021-06-30 00:00:00",m0odWntkIxz84BTXe1EV,"Oaktree Opportunities Fund VIII-B, L.P.","2011-08-22 00:00:00",125000000,125000000,0,46155867,135162378,181318245,1.5,56318245,0.0683,"Distressed Debt",1
"2021-06-30 00:00:00",mpsjy9nqmlhhd4klt982,"Oaktree Opportunities Fund XI, L.P.","2020-08-03 00:00:00",400000000,40000000,360000000,54615846,0,54615846,1.4,14615846,0.5038,"Distressed Debt",1
"2021-06-30 00:00:00",n61z5xkjwdktk5nrq9wt,"Apax VIII","2012-12-17 00:00:00",269963031,308243896,16554281,129424111,426750644,556174755,1.8,247930859,0.1626,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",n712mf2qwBVDlREjz38l,"Charterhouse Capital Partners IX, L.P.","2009-01-07 00:00:00",252108597,252108597,0,55728266,285955479,341683745,1.4,89575148,0.0979,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",NYB7bJGVl0CtIzg4hUfW,"Denham Commodity Partners Fund VI, L.P.","2012-04-20 00:00:00",200000000,227032429,19613306,102506488,131028726,233535214,1,6502785,0.0085,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",O6VCGL0fYUQqBl4huNx1,"KSL Capital Partners Supplemental II TE, L.P.","2009-03-03 00:00:00",50000000,21661083,478244,0,46970637,46970637,2.2,25309554,0.248,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",oablv0v47414x5c1vubg,"Trident VIII, L.P.","2020-04-08 00:00:00",300000000,184274830,119190323,210629412,4244633,214874044,1.2,30599215,0.3259,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",od935ekm51ytark2xesp,"Charterhouse Capital Partners X, L.P.","2016-12-05 00:00:00",255070818,174893698,80177121,242016124,54807906,296824030,1.7,121930332,0.2299,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",p30qfk88747c9xlywqiq,"Blackstone Capital Partners VIII, L.P.","2021-02-22 00:00:00",750000000,91415893,658902444,116263975,0,116263975,1.3,24848082,0.3027,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",p45l2m5vgoaxq01avbfz,"Advent Latin American Private Equity Fund VI-H, L.P.","2015-05-11 00:00:00",160000000,146480000,13600000,165168446,63280000,228448446,1.6,81968446,0.178,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",pcq8bp3elgani9l2cns6,"PAI Europe VII","2019-09-25 00:00:00",175513383,77956365,97557106,101821218,88,101821307,1.3,23864942,0.2933,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",pewy4e8xjl1d3g6v97h2,"Menlo Ventures XII, L.P.","2015-04-02 00:00:00",100000000,113519680,0,147733545,53656591,201390136,1.8,87870456,0.1573,"Venture Capital",1
"2021-06-30 00:00:00",pw13al6y5lgkya6mn70m,"Searchlight Capital Partners III, L.P.","2020-02-10 00:00:00",300000000,109163836,191570063,149537872,227767,149765639,1.4,40601803,0.4608,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",q1xb1zdfra03vt802953,"Triton Fund V, L.P.","2019-10-18 00:00:00",292306318,139519481,154246108,161584700,1459271,163043971,1.2,23524490,0.1863,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",qmikvyb4pe8bnuvgjqqb,"Green Equity Investors VII, L.P.","2017-05-12 00:00:00",350000000,310036136,110827706,558096684,79387195,637483879,2.1,327447743,0.3018,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",rkperuu0bdfwjewmoo1c,"Hellman & Friedman Capital Partners VIII, L.P.","2016-09-01 00:00:00",600000000,610277012,32510510,1030479979,167796688,1198276667,2,587999655,0.2537,"Corporate Finance/Buyout - Mega",1
