fund_name,tvpi_reported,tvpi_calc,total_contributed,total_value
"Blackstone Capital Partners Asia, L.P.",2.5,2.5057,105775501,265042649
"Cinven Seventh Fund",1.5,1.5056,35569756,53552844
"Thoma Bravo Fund XIV, L.P.",1,0.9947,78658843,78238356
"Nordic Capital Fund VIII, L.P.",1.8,1.8053,476652786,860523140
"FFL Capital Partners IV, L.P.",1.6,1.6053,221016961,354792558
"Banc Fund X, L.P.",1.2,1.1948,98311818,117465522
"Silver Lake Partners IV, L.P.",2.6,2.5948,460484697,1194885329
"Francisco Partners IV, L.P.",3.4,3.3949,140830253,478102991
"Bridgepoint Europe IV, L.P. (Secondary Purchase)",1.3,1.3046,30834805,40226946
"TPG Growth II, L.P.",1.8,1.8046,223232117,402835817
"Apax VIII",1.8,1.8043,308243896,556174755
"Menlo Special Opportunities, L.P.",2.3,2.3037,131000000,301790760
"Endeavour Capital Fund VII, L.P. - Secondary Purchase",1.3,1.3037,13173717,17175090
"Sixth Street Opportunities Partners III, L.P.",1.6,1.5970,109004534,174085240
"Charterhouse Capital Partners X, L.P.",1.7,1.6972,174893698,296824030
"Oaktree Principal Fund V, L.P.",1.2,1.1978,139657552,167286627
"TCV X, L.P.",2.4,2.3978,140970793,338017226
"PAG Asia II, L.P.",2,2.0021,125422222,251107523
"KSL Capital Partners V, L.P.",1.2,1.2019,137645569,165442266
"Endeavour Capital Fund VI, L.P. - Secondary Purchase",2.1,2.0998,4368627,9173114
"New Mountain Partners V, L.P.",2,1.9998,181228151,362428283
"Nordic Capital CV1 Beta, L.P.",1.5,1.5002,220691769,331084238
